Air_Conditioner,Antiquity,Bathrooms,Borough,Community_Zone,Concierge,District,Elevator,Energy_Consumption,Ensuite,Equipped_Kitchen,Floor,Furnished,Garden,Price,Rooms,Size,Swimming_Pool,Terrace,Type
1,70-100,1,Ríos Rosas,0,0,Chamberí,0,G,0,1,Bajos,1,0,750,1,55,0,0,Apartamento
0,20-30,1,Almenara,0,0,Tetuán,1,G,0,1,1,1,0,900,2,80,0,0,Piso
0,10-20,1,Valdefuentes,1,0,Hortaleza,1,G,1,1,4,1,0,1100,1,62,1,0,Piso
1,30-50,1,Niño Jesús,1,1,Retiro,1,G,0,1,2,1,1,1250,2,78,1,0,Piso
1,30-50,4,San Juan Bautista,0,1,Ciudad Lineal,0,G,0,0,1,0,0,3100,4,216,0,0,Casa o chalet
1,70-100,1,Trafalgar,0,0,Chamberí,0,G,0,1,2,1,0,650,1,38,0,0,Estudio
0,30-50,2,Canillejas,0,0,San Blas,0,G,0,1,Bajos,1,0,850,2,95,0,0,Piso
0,30-50,1,Imperial,1,1,Arganzuela,1,G,0,1,3,1,0,1250,3,95,1,1,Piso
1,50-70,3,Castellana,0,0,Salamanca,1,G,0,1,6,0,0,1800,3,145,0,1,Ático
0,50-70,1,Fuente del Berro,0,0,Salamanca,1,G,0,1,2,0,0,750,1,50,0,1,Apartamento
1,20-30,2,San Juan Bautista,1,1,Ciudad Lineal,1,G,0,1,3,0,0,1200,2,91,1,0,Piso
1,20-30,1,Peñagrande,0,0,Fuencarral,1,E,0,1,8,1,0,650,1,41,0,0,Estudio
0,+100,1,Embajadores,0,1,Arganzuela,1,G,0,1,1,1,0,1150,3,95,0,0,Piso
0,1-5,1,Numancia,0,0,Puente de Vallecas,0,G,0,1,5,1,0,725,3,48,0,0,Piso
1,70-100,1,Lista,0,1,Salamanca,1,G,0,1,2,0,0,950,1,74,0,1,Piso
1,<1,1,Ciudad Jardín,1,1,Chamartín,1,D,1,1,2,0,0,1000,1,50,0,0,Apartamento
1,20-30,2,Piovera,1,1,Hortaleza,1,Exento,0,1,4,0,0,1450,3,115,1,1,Ático
0,70-100,1,Trafalgar,0,0,Chamberí,1,F,0,0,1,1,0,975,2,75,0,0,Piso
0,70-100,1,Goya,0,0,Salamanca,1,G,0,1,3,1,0,1100,2,70,0,0,Piso
0,50-70,1,Puerta del Ángel,0,0,Latina,0,G,0,1,Bajos,1,0,680,2,55,0,0,Piso
1,30-50,1,Prosperidad,1,1,Chamartín,1,G,0,1,5,1,1,1150,2,80,1,1,Piso
1,30-50,1,Castilla,1,1,Chamartín,1,G,0,1,5,1,0,790,1,55,1,0,Apartamento
1,+100,1,Goya,0,0,Salamanca,1,G,0,1,3,1,0,650,1,40,0,0,Piso
0,<1,2,Timón,0,0,Barajas,1,G,0,1,3,1,0,900,3,94,1,0,Piso
1,10-20,2,El Goloso,1,1,Fuencarral,1,G,1,1,1,0,0,1100,2,80,1,0,Piso
0,20-30,1,Valdezarza,0,0,Moncloa,0,G,0,1,Bajos,1,0,850,3,45,0,0,Piso
1,30-50,1,Canillas,0,1,Hortaleza,1,D,0,1,4,1,0,725,1,58,0,1,Apartamento
0,50-70,1,Cuatro Caminos,0,0,Tetuán,1,G,0,0,2,0,0,1200,2,85,0,0,Piso
1,70-100,2,Goya,0,1,Salamanca,1,G,0,1,3,0,0,1550,3,126,0,0,Piso
1,70-100,1,Goya,0,0,Salamanca,0,G,0,1,3,0,0,1200,2,75,0,0,Piso
0,50-70,2,Guindalera,0,1,Salamanca,1,G,0,1,6,0,0,1400,3,135,0,1,Piso
0,70-100,1,Goya,0,1,Salamanca,0,G,0,1,Sótano,0,0,800,2,64,0,0,Piso
0,30-50,2,Comillas,0,0,Carabanchel,0,G,0,1,1,1,0,1100,3,120,0,0,Dúplex
1,50-70,1,Fuente del Berro,0,0,Salamanca,1,G,0,0,5,0,0,850,3,60,0,0,Piso
1,50-70,1,Fuente del Berro,0,1,Salamanca,1,G,0,1,1,1,0,1100,3,71,0,1,Piso
0,50-70,1,Moscardó,0,0,Usera,0,G,0,0,1,0,0,700,2,63,0,0,Piso
1,+100,1,Palacio,0,0,Centro,0,G,0,1,3,1,0,900,2,80,0,0,Piso
0,50-70,1,Lucero,0,0,Latina,0,E,0,1,2,1,0,750,2,60,0,1,Piso
1,+100,2,Palacio,0,1,Centro,1,G,0,1,1,1,0,2300,4,178,0,0,Piso
1,10-20,2,Aravaca,0,0,Moncloa,1,G,0,0,1,0,0,1150,2,95,0,0,Piso
1,50-70,1,Hispanoamérica,0,1,Chamartín,1,G,0,1,2,1,0,700,1,50,0,0,Apartamento
0,70-100,1,Goya,0,1,Salamanca,1,G,0,1,6,1,0,900,3,65,0,0,Piso
0,+100,1,Universidad,0,0,Centro,0,G,0,1,2,1,0,670,1,35,0,0,Piso
0,50-70,2,Guindalera,1,1,Salamanca,1,G,0,1,2,1,0,1500,3,102,0,0,Piso
1,10-20,2,Valdefuentes,1,0,Hortaleza,1,G,0,1,5,1,0,1350,3,120,1,0,Piso
0,30-50,2,Pueblo Nuevo,0,0,Ciudad Lineal,1,E,0,1,3,0,0,800,2,85,0,1,Piso
0,1-5,2,Mirasierra,1,0,Fuencarral,1,D,0,1,1,1,0,1200,2,75,1,0,Piso
1,10-20,1,Ensanche de Vallecas,1,1,Villa de Vallecas,1,E,0,1,3,1,0,650,1,55,1,0,Piso
0,10-20,2,Ciudad Universitaria,0,0,Moncloa,0,G,0,1,Bajos,1,0,1200,3,150,0,1,Dúplex
1,20-30,1,Cuatro Caminos,0,0,Tetuán,1,E,0,1,1,1,0,1095,3,70,0,0,Apartamento
