Antiquity,Bathrooms,Community_Expenses,Condition,Deposit,Elevator,Emissions,Energy_Consumption,Extra,Floor,Furnished,Heating,Neighborhood,Orientation,Parking,Pets,Photos,Price,Rooms,Size,Title,Type,Water_Heater,url
Menos de 1 año,2,nan,Casi nuevo,nan,Sí,E,E,Aire acondicionado-Armarios-Jardín Privado-Electrodomésticos-Serv. portería-Gimnasio-Piscina comunitaria-Cocina Equipada,4ª planta,Sí,Gas Natural,"Gran Vía, Centro",Sureste,Comunitario,nan,20,2.900 €,2,118,Piso de alquiler en Gran Vía Universidad - Malasaña,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-ascensor-amueblado-parking-piscina/155661596/d
10 a 20 años,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Parquet-Piscina-Suite - con baño-Serv. portería-Puerta Blindada,nan,nan,Gas Natural,"Calle de Méndez Álvaro, Arganzuela",nan,Privado,nan,37,420.000 €,3,96,Piso de alquiler en Calle de Méndez Álvaro Delicias,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-parking-ascensor-piscina-parking/156257647/d
nan,1,nan,nan,nan,nan,En trámite,G,Calefacción-Horno-Lavadora-Microondas-Nevera-TV-Internet,nan,nan,nan,"Calle Virtudes, Chamberí",nan,nan,nan,18,1.200 €,2,85,Apartamento de alquiler en Calle Virtudes Almagro,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-television-internet/157285366/d
50 a 70 años,1,nan,Bien,nan,Sí,En trámite,G,Armarios-Calefacción-Parquet-Serv. portería-Puerta Blindada-Cocina Equipada,nan,nan,nan,"Biarritz, Salamanca",nan,nan,nan,18,750 €,1,47,Piso de alquiler en Biarritz Guindalera,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor/158408758/d
30 a 50 años,1,nan,nan,nan,Sí,En trámite,G,Armarios-Calefacción-Parquet-Terraza-Serv. portería-Cocina Equipada,nan,nan,nan,"Brasilia, Salamanca",nan,nan,nan,28,950 €,2,68,Piso de alquiler en Brasilia Guindalera,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-terraza-ascensor/156300228/d
,1,,,,Sí,En trámite,G,Parquet-Cocina Office-Cocina Equipada,4ª planta,,,"Embalse de Navacerrada, Villa de Vallecas",,,,12,650 €,,40,Estudio de alquiler en Embalse de Navacerrada Ensanche de Vallecas - La Gavia,Estudio,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/ascensor/158453249/d
50 a 70 años,1,Sí,,,nan,D,G,Aire acondicionado-Calefacción-Electrodomésticos-Puerta Blindada-Cocina Equipada,3ª planta,,,San Blas,,,,21,725 €,2,53,Piso de alquiler en Arcos de Jalón,Piso,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion/158208722/d
nan,1,Sí,Bien,,Sí,F,E,Aire acondicionado-Armarios-Parquet-Electrodomésticos-Serv. portería,4ª planta,,Gas Natural,"Calle de San Julio, Chamartín",,,,14,625 €,1,53,Apartamento de alquiler en Calle de San Julio El Viso,Apartamento,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor/158638106/d
nan,1,nan,nan,,nan,En trámite,G,Aire acondicionado-Calefacción-Puerta Blindada-Cocina Equipada,nan,,nan,"De Pedro Repide, Latina",,,,14,660 €,2,48,Piso de alquiler en De Pedro Repide Puerta del Ángel,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion/158618707/d
+ 100 años,1,nan,nan,,Sí,En trámite,G,Armarios-Calefacción-Parquet-Cocina Equipada,3ª planta,Sí,nan,"Del Olivar, 13, Centro",,,,33,800 €,2,45,"Piso de alquiler en Del Olivar, 13 Embajadores - Lavapiés",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado/158640273/d
