Air_Conditioner,Antiquity,Bathrooms,Borough,Community_Zone,Concierge,District,Elevator,Emissions,Energy_Consumption,Ensuite,Equipped_Kitchen,Floor,Furnished,Garden,Len_Extras,Photos,Price,Rooms,Size,Swimming_Pool,Terrace,Type
1,+100,3,Sol,0,0,Centro,1,G,G,0,1,1-4,1,0,10,17,1200,2,50,0,0,Piso
1,30-50,2,Arapiles,0,1,Chamberí,1,G,G,0,1,5-8,1,0,11,16,550,1,30,0,0,Estudio
1,30-50,2,Canillas,0,1,Hortaleza,1,G,G,1,1,1-4,0,0,16,20,2200,3,138,0,0,Piso
1,<1,1,Valdeacederas,0,1,Tetuán,1,G,G,0,1,1-4,1,0,12,11,580,1,35,0,0,Loft
1,70-100,2,Argüelles,0,1,Moncloa,1,G,G,0,1,5-8,0,0,13,21,2390,3,178,0,1,Piso
1,30-50,1,Imperial,1,0,Arganzuela,1,G,G,0,1,1-4,1,0,9,15,1235,1,38,1,0,Estudio
1,50-70,2,Fuente del Berro,0,1,Salamanca,1,G,G,1,1,5-8,0,0,10,26,1680,4,100,0,1,Ático
0,30-50,2,Prosperidad,0,1,Chamartín,1,G,G,0,1,5-8,0,0,5,24,1400,3,105,0,1,Piso
1,10-20,2,Valdefuentes,1,1,Hortaleza,1,G,G,1,1,1-4,0,0,18,22,1200,3,120,1,0,Piso
1,50-70,1,Nueva España,0,1,Chamartín,1,G,G,0,1,1-4,0,0,14,16,1350,2,94,0,0,Piso
1,10-20,1,Simancas,0,0,San Blas,0,D,D,0,1,1-4,0,0,5,20,600,2,50,0,0,Piso
0,70-100,1,Arapiles,0,0,Chamberí,0,G,G,0,0,1-4,0,0,1,14,875,2,45,0,0,Piso
1,70-100,1,Gaztambide,0,0,Chamberí,1,G,G,0,1,1-4,1,0,8,27,750,1,45,0,0,Piso
1,70-100,1,Lista,0,0,Salamanca,0,G,G,0,1,Bajos,1,0,5,13,900,1,66,0,0,Apartamento
0,30-50,2,Canillas,0,0,Hortaleza,1,G,G,1,1,14-15,0,0,8,33,1100,3,110,0,1,Piso
1,50-70,1,Fuente del Berro,0,1,Salamanca,1,C,C,0,1,1-4,0,0,11,16,890,1,52,0,0,Piso
0,50-70,2,Palos de Moguer,0,0,Arganzuela,1,E,E,0,1,5-8,1,0,4,16,1400,4,119,0,0,Piso
1,+100,1,Palacio,0,0,Centro,1,G,G,0,1,1-4,1,0,12,30,730,1,49,0,0,Estudio
0,10-20,1,Ensanche de Vallecas,0,1,Villa de Vallecas,1,G,G,0,1,5-8,0,1,7,13,740,2,67,0,0,Piso
1,50-70,1,Ventas,0,0,Ciudad Lineal,1,G,G,0,1,5-8,0,0,7,15,800,2,62,0,0,Piso
1,30-50,1,Castilla,1,0,Chamartín,1,G,G,0,1,5-8,1,0,14,17,1100,1,60,0,1,Piso
0,30-50,1,Prosperidad,0,1,Chamartín,1,G,G,0,1,1-4,1,0,10,6,820,1,50,0,0,Piso
0,10-20,1,Opañel,0,0,Carabanchel,0,G,G,0,1,1-4,0,0,6,10,795,3,70,0,1,Piso
1,50-70,1,Guindalera,0,0,Salamanca,1,G,G,0,1,1-4,1,0,8,9,900,2,80,0,1,Piso
1,+100,1,Sol,0,0,Centro,1,A,A,0,1,1-4,1,0,11,13,950,1,54,0,0,Apartamento
1,30-50,1,Nueva España,0,1,Chamartín,1,D,E,0,1,5-8,0,0,10,23,790,1,49,0,0,Piso
1,30-50,2,San Juan Bautista,1,1,Ciudad Lineal,1,E,E,0,1,1-4,0,0,11,8,1100,3,100,1,0,Piso
0,30-50,1,Valverde,0,0,Fuencarral,0,G,G,0,0,1-4,0,0,3,12,775,2,75,0,1,Piso
0,70-100,1,Gaztambide,0,0,Chamberí,1,G,G,0,1,1-4,0,0,2,48,650,1,40,0,0,Apartamento
1,+100,1,Cortes,0,0,Centro,1,C,B,0,1,5-8,0,0,7,8,1320,2,78,0,0,Piso
1,50-70,2,Hispanoamérica,0,0,Chamartín,1,G,G,0,1,1-4,1,0,5,22,1350,3,86,0,0,Piso
1,30-50,1,Valdezarza,1,1,Moncloa,1,G,G,0,1,9-12,1,0,11,20,675,1,31,1,0,Estudio
